Data;Preço - petróleo bruto - Brent (FOB) - US$ - Energy Information Administration (EIA) - EIA366_PBRENT366
01/01/2024;
02/01/2024;76,24
03/01/2024;77,18
04/01/2024;75,79
05/01/2024;78,31
06/01/2024;
07/01/2024;
08/01/2024;75,47
09/01/2024;77,97
10/01/2024;78,46
11/01/2024;80,21
12/01/2024;79,89
13/01/2024;
14/01/2024;
15/01/2024;79,76
16/01/2024;80,15
17/01/2024;78,88
18/01/2024;81,04
19/01/2024;80,71
20/01/2024;
21/01/2024;
22/01/2024;81,7
23/01/2024;82,04
24/01/2024;82,15
25/01/2024;82,33
26/01/2024;83,34
27/01/2024;
28/01/2024;
29/01/2024;83,99
30/01/2024;84,14
31/01/2024;82,98
01/02/2024;82,2
02/02/2024;79,54
03/02/2024;
04/02/2024;
05/02/2024;79,3
06/02/2024;80,46
07/02/2024;81,18
08/02/2024;83,01
09/02/2024;83,58
10/02/2024;
11/02/2024;
12/02/2024;83,88
13/02/2024;84,72
14/02/2024;84,41
15/02/2024;84,33
16/02/2024;84,88
17/02/2024;
18/02/2024;
19/02/2024;85,52
20/02/2024;84,78
21/02/2024;84,77
22/02/2024;85,84
23/02/2024;84,18
24/02/2024;
25/02/2024;
26/02/2024;84,01
27/02/2024;83,8
28/02/2024;84,08
29/02/2024;84,57
01/03/2024;84,82
02/03/2024;
03/03/2024;
04/03/2024;86,58
05/03/2024;85,82
06/03/2024;86,59
07/03/2024;84,88
08/03/2024;84,29
09/03/2024;
10/03/2024;
11/03/2024;83,44
12/03/2024;83,66
13/03/2024;83,95
14/03/2024;86,16
15/03/2024;85,39
16/03/2024;
17/03/2024;
18/03/2024;86,47
19/03/2024;87,36
20/03/2024;85,77
21/03/2024;84,92
22/03/2024;84,87
23/03/2024;
24/03/2024;
25/03/2024;86,18
26/03/2024;85,91
27/03/2024;84,94
28/03/2024;86,17
29/03/2024;
30/03/2024;
31/03/2024;
01/04/2024;
02/04/2024;87,63
03/04/2024;90,6
04/04/2024;90,32
05/04/2024;92,81
06/04/2024;
07/04/2024;
08/04/2024;91,73
09/04/2024;92,13
10/04/2024;91,57
11/04/2024;91,49
12/04/2024;93,12
13/04/2024;
14/04/2024;
15/04/2024;90,84
16/04/2024;91,29
17/04/2024;89,54
18/04/2024;88,34
19/04/2024;87,96
20/04/2024;
21/04/2024;
22/04/2024;87,3
23/04/2024;88,29
24/04/2024;89,02
25/04/2024;88,1
26/04/2024;89,95
27/04/2024;
28/04/2024;
29/04/2024;88,44
30/04/2024;88,23
01/05/2024;83,55
02/05/2024;84,81
03/05/2024;83,6
04/05/2024;
05/05/2024;
06/05/2024;
07/05/2024;82,69
08/05/2024;82,44
09/05/2024;83,27
10/05/2024;83,39
11/05/2024;
12/05/2024;
13/05/2024;83,18
14/05/2024;81
15/05/2024;79,98
16/05/2024;81,65
17/05/2024;82,24
18/05/2024;
19/05/2024;
20/05/2024;81,91
21/05/2024;81,22
22/05/2024;79,9
23/05/2024;79,25
24/05/2024;78,92
25/05/2024;
26/05/2024;
27/05/2024;
28/05/2024;81,34
29/05/2024;81,5
30/05/2024;81,42
31/05/2024;79,41
01/06/2024;
02/06/2024;
03/06/2024;76,45
04/06/2024;75,33
05/06/2024;75,41
06/06/2024;77,62
07/06/2024;78,12
08/06/2024;
09/06/2024;
10/06/2024;79,59
11/06/2024;80,15
12/06/2024;80,52
13/06/2024;81,44
14/06/2024;81,49
15/06/2024;
16/06/2024;
17/06/2024;82,45
18/06/2024;84,79
19/06/2024;85,64
20/06/2024;85,92
21/06/2024;86,42
22/06/2024;
23/06/2024;
24/06/2024;86,75
25/06/2024;86,81
26/06/2024;85,76
27/06/2024;87
28/06/2024;87,26
29/06/2024;
30/06/2024;
01/07/2024;86,57
02/07/2024;88,28
03/07/2024;88,25
04/07/2024;88,34
05/07/2024;88,66
06/07/2024;
07/07/2024;
08/07/2024;87,15
09/07/2024;86,48
10/07/2024;86,55
11/07/2024;86,49
12/07/2024;87,35
13/07/2024;
14/07/2024;
15/07/2024;86,42
16/07/2024;86,6
17/07/2024;85,76
18/07/2024;86,26
19/07/2024;85,19
20/07/2024;
21/07/2024;
22/07/2024;83,44
23/07/2024;82,2
24/07/2024;83,01
25/07/2024;82,58
26/07/2024;81,35
27/07/2024;
28/07/2024;
29/07/2024;80,94
30/07/2024;79,26
31/07/2024;81,39
01/08/2024;81,37
02/08/2024;78,35
03/08/2024;
04/08/2024;
05/08/2024;77,51
06/08/2024;76,62
07/08/2024;78,26
08/08/2024;80,76
09/08/2024;81,07
10/08/2024;
11/08/2024;
12/08/2024;83,06
13/08/2024;82,51
14/08/2024;82,15
15/08/2024;83,09
16/08/2024;81,56
17/08/2024;
18/08/2024;
19/08/2024;81,09
20/08/2024;78,85
21/08/2024;78,77
22/08/2024;78,8
23/08/2024;80,34
24/08/2024;
25/08/2024;
26/08/2024;
27/08/2024;81,51
28/08/2024;80,04
29/08/2024;81,55
30/08/2024;80,2
31/08/2024;
01/09/2024;
02/09/2024;77,82
03/09/2024;76,46
04/09/2024;74,67
05/09/2024;74,47
06/09/2024;72,82
07/09/2024;
08/09/2024;
09/09/2024;72,37
10/09/2024;70,34
11/09/2024;70,31
12/09/2024;73,81
13/09/2024;73,68
14/09/2024;
15/09/2024;
16/09/2024;73,96
17/09/2024;74,55
18/09/2024;74,52
19/09/2024;75,93
20/09/2024;75,96
21/09/2024;
22/09/2024;
23/09/2024;74,95
24/09/2024;75,29
25/09/2024;75,4
26/09/2024;73,06
27/09/2024;71,63
28/09/2024;
29/09/2024;
30/09/2024;72,35
01/10/2024;75,3
02/10/2024;74,86
03/10/2024;77,57
04/10/2024;79,32
05/10/2024;
06/10/2024;
07/10/2024;81,74
08/10/2024;78,19
09/10/2024;77,06
10/10/2024;79,45
11/10/2024;80,27
12/10/2024;78,47
13/10/2024;
14/10/2024;
15/10/2024;73,68
16/10/2024;73,65
17/10/2024;74,37
18/10/2024;72,75
19/10/2024;
20/10/2024;
21/10/2024;73,29
22/10/2024;75,59
23/10/2024;74,68
24/10/2024;74,27
25/10/2024;75,62
26/10/2024;
27/10/2024;
28/10/2024;71,87
29/10/2024;71,09
30/10/2024;73,21
31/10/2024;73,25
01/11/2024;73,63
02/11/2024;
03/11/2024;
04/11/2024;74,89
05/11/2024;76,98
06/11/2024;76,52
07/11/2024;75,73
08/11/2024;74,04
09/11/2024;
10/11/2024;
11/11/2024;72,19
12/11/2024;72,56
